,Author,Repo,Lang,Star,Fork
0,WorkerLivesMatter,WorkingTime,,"11,590","1,064"
1,nuxt,framework,TypeScript,"2,692",123
2,goplus,gop,Go,"7,264",469
3,KieSun,all-of-frontend,JavaScript,"3,523",511
4,AveYo,MediaCreationTool.bat,Batchfile,"1,083",241
5,twbs,icons,HTML,"5,560",761
6,trekhleb,javascript-algorithms,JavaScript,"123,461","20,171"
7,Chakazul,Lenia,Python,"2,657",155
8,microsoft,Swin-Transformer,Python,"5,296",670
9,NVlabs,stylegan3,Python,"2,548",194
10,sentsin,layui,JavaScript,"25,062","6,770"
11,electron-userland,electron-builder,TypeScript,"11,509","1,429"
12,3b1b,videos,Python,"1,367",175
13,zhanwen,MathModel,TeX,"3,652","1,363"
14,qiurunze123,miaosha,Java,"22,472","5,775"
15,smartcontractkit,full-blockchain-solidity-course-py,,"2,347",443
16,practical-tutorials,project-based-learning,,"58,227","8,907"
17,LeCoupa,awesome-cheatsheets,JavaScript,"25,058","4,019"
18,thingsboard,thingsboard,Java,"10,205","3,153"
19,ascoders,weekly,JavaScript,"16,176","1,836"
20,microsoft,playwright,JavaScript,"29,753","1,262"
21,ddosify,ddosify,Go,"2,005",58
22,apache,apisix,Lua,"7,084","1,285"
23,CyC2018,CS-Notes,Java,"140,371","44,909"
24,PanJiaChen,vue-element-admin,Vue,"71,836","25,841"
